destination,indian_2021,foreign_2021,total_2021,indian_2022,foreign_2022,total_2022,indian_2023,foreign_2023,total_2023
Dehradun,2866107,1675,2867782,5816212,13447,5829659,6113424,26262,6139686
Rishikesh,291230,1576,292806,756264,1817,758081,1038891,3993,1042884
Mussoorie,1229528,280,1229808,1171786,1275,1173061,1469663,2250,1471913
Pauri,7350,0,7350,12443,25,12468,13735,29,13764
Srinagar,209555,0,209555,456368,56,456424,599598,111,599709
"Kotdwar (Swaragasram, Chilla)",108362,638,109000,270907,4445,275352,342156,21817,363973
Rudraprayag (without Kedarnath),46479,36,46515,343423,130,343553,401618,351,401969
Kedarnath,242985,27,243012,1563280,968,1564248,1957609,1254,1958863
"Gopeshwar (Nandprayag,Mundoli, Tharali etc.)",10163,53,10216,121985,65,122050,173833,2306,176139
"Joshimath (Govindghat, Ghanghariya)",167369,12,167381,704011,118,704129,514340,1033,515373
Badrinath,199406,3,199409,1763384,194,1763578,1779930,499,1780429
Auli,127487,1,127488,412674,78,412752,181353,328,181681
Hemkund Sahib,19909,0,19909,190198,86,190284,164501,45,164546
Valley of Flowers,10383,15,10398,20550,280,20830,12831,401,13232
Tehri,490512,2300,492812,2723603,22709,2746312,3713970,47177,3761147
"Uttarkashi (Harshil, Gangnani etc.)",80593,140,80733,153009,980,153989,362106,1333,363439
Gangotri,33771,0,33771,781903,58,781961,712749,0,712749
Yamunotri,33311,0,33311,621504,34,621538,560918,0,560918
Haridwar,12717825,616,12718441,34252800,6607,34259407,37050845,20657,37071502
Almora,38027,171,38198,147195,1606,148801,235571,3040,238611
Ranikheth,54265,0,54265,80074,52,80126,125167,0,125167
Kausani & Bageshwar,45807,8,45815,81952,154,82106,81935,628,82563
Pithoragarh,53433,73,53506,116997,217,117214,126989,408,127397
Champawat,15704,7,15711,36334,208,36542,227129,223,227352
Nainital,325626,633,326259,525656,4020,529676,776526,7971,784497
Kathgodam,107932,177,108109,215076,467,215543,172741,355,173096
Corbett National Park,287324,6813,294137,349746,3537,353283,328372,4721,333093
Udham Singh Nagar,182262,156,182418,227515,856,228371,249689,1220,250909
Total,20002705,15410,20018115,53916849,64489,53981338,59488189,148412,59636601
