destination,indian_2021,foreign_2021,total_2021,indian_2022,foreign_2022,total_2022,indian_2023,foreign_2023,total_2023,average_tourists,crowd_score,crowd_level,growth_rate,growth_score,tourism_pressure_score,pressure_level
Dehradun,2866107,1675,2867782,5816212,13447,5829659,6113424,26262,6139686,4945709.0,17.61996033887353,Low,114.09179637782789,5.049219302084519,13.85,Low
Rishikesh,291230,1576,292806,756264,1817,758081,1038891,3993,1042884,697923.6666666666,2.4521456496118677,Low,256.1689309645294,12.162709482031067,5.37,Low
Mussoorie,1229528,280,1229808,1171786,1275,1173061,1469663,2250,1471913,1291594.0,4.571998913346838,Low,19.686406333346344,0.32254870185761453,3.3,Low
Pauri,7350,0,7350,12443,25,12468,13735,29,13764,11194.0,0.0,Low,87.26530612244898,3.706075836042718,1.11,Low
Srinagar,209555,0,209555,456368,56,456424,599598,111,599709,421896.0,1.4665175708445586,Low,186.18214788480353,8.658624918305087,3.62,Low
"Kotdwar (Swaragasram, Chilla)",108362,638,109000,270907,4445,275352,342156,21817,363973,249441.66666666666,0.8507248306056073,Low,233.92018348623856,11.048763545808995,3.91,Low
Rudraprayag (without Kedarnath),46479,36,46515,343423,130,343553,401618,351,401969,264012.3333333333,0.902753159383129,Low,764.1706976244222,37.597242554806634,11.91,Low
Kedarnath,242985,27,243012,1563280,968,1564248,1957609,1254,1958863,1255374.3333333333,4.442667238368873,Low,706.0766546507991,34.68860137613705,13.52,Low
"Gopeshwar (Nandprayag,Mundoli, Tharali etc.)",10163,53,10216,121985,65,122050,173833,2306,176139,102801.66666666667,0.3271088350939076,Low,1624.1483946750197,80.65443765335607,24.43,Low
"Joshimath (Govindghat, Ghanghariya)",167369,12,167381,704011,118,704129,514340,1033,515373,462294.3333333333,1.610770254459853,Low,207.90412292912578,9.746196515355676,4.05,Low
Badrinath,199406,3,199409,1763384,194,1763578,1779930,499,1780429,1247805.3333333333,4.415640168878775,Low,792.8528802611718,39.033296463969926,14.8,Low
Auli,127487,1,127488,412674,78,412752,181353,328,181681,240640.33333333334,0.8192973966505908,Low,42.50831450803213,1.4651915356993988,1.01,Low
Hemkund Sahib,19909,0,19909,190198,86,190284,164501,45,164546,124913.0,0.4060630618766705,Low,726.4905319202371,35.710679389697816,11.0,Low
Valley of Flowers,10383,15,10398,20550,280,20830,12831,401,13232,14820.0,0.012947569556229015,Low,27.255241392575495,0.7015036549123987,0.22,Low
Tehri,490512,2300,492812,2723603,22709,2746312,3713970,47177,3761147,2333423.6666666665,8.292120831413454,Low,663.2011801660674,32.54192050736173,15.57,Low
"Uttarkashi (Harshil, Gangnani etc.)",80593,140,80733,153009,980,153989,362106,1333,363439,199387.0,0.6719917146981267,Low,350.17403044603816,16.869338412659864,5.53,Low
Gangotri,33771,0,33771,781903,58,781961,712749,0,712749,509493.6666666667,1.7793076651992277,Low,2010.5356666962778,100.0,31.25,Low
Yamunotri,33311,0,33311,621504,34,621538,560918,0,560918,405255.6666666667,1.4070989626613901,Low,1583.8822010747201,78.63839774944906,24.58,Low
Haridwar,12717825,616,12718441,34252800,6607,34259407,37050845,20657,37071502,28016450.0,100.0,High,191.4783502160367,8.923794140529559,72.68,High
Almora,38027,171,38198,147195,1606,148801,235571,3040,238611,141870.0,0.4666124101847168,Low,524.6688308288392,25.605909941819714,8.01,Low
Ranikheth,54265,0,54265,80074,52,80126,125167,0,125167,86519.33333333333,0.268968558378232,Low,130.65880401732238,5.878692999576122,1.95,Low
Kausani & Bageshwar,45807,8,45815,81952,154,82106,81935,628,82563,70161.33333333333,0.21055809428534888,Low,80.20953836079886,3.3528090360718,1.15,Low
Pithoragarh,53433,73,53506,116997,217,117214,126989,408,127397,99372.33333333333,0.31486351466786566,Low,138.0985310058685,6.251183795005352,2.1,Low
Champawat,15704,7,15711,36334,208,36542,227129,223,227352,93201.66666666667,0.2928295555186736,Low,1347.0880274966585,66.78263339077115,20.24,Low
Nainital,325626,633,326259,525656,4020,529676,776526,7971,784497,546810.6666666666,1.9125576522730825,Low,140.45221741009445,6.369027705440622,3.25,Low
Kathgodam,107932,177,108109,215076,467,215543,172741,355,173096,165582.66666666666,0.5512846112410709,Low,60.112479072047655,2.3465934031889812,1.09,Low
Corbett National Park,287324,6813,294137,349746,3537,353283,328372,4721,333093,326837.6666666667,1.1270872391477753,Low,13.244168533710482,0.0,0.79,Low
Udham Singh Nagar,182262,156,182418,227515,856,228371,249689,1220,250909,220566.0,0.7476168045026976,Low,37.546185135238844,1.2167486130034249,0.89,Low
